,Name,Handle
0,Eswatini Government,@EswatiniGovern1
1,Malawi Government,@MalawiGovt
2,Geingob,@hagegeingob
3,Seychelles Ministry of Finance,@FinanceSC
4,PresidencyZA,@PresidencyZA
5,Ministry of Health Zambia,@mohzambia
6,President of Zimbabwe,@edmnangagwa
7,MinSantédj,@MinSantedj
8,Meskel,@hawelti
9,State House Kenya,@StateHouseKenya
10,Paul Kagame,@PaulKagame
11,Mohamed Farmaajo,@M_Farmaajo
12,South Sudan Government,@SouthSudanGov
13,Abdalla Hamdok,@SudanPMHamdok
14,TanzaniaSpokesperson,@TZSpokesperson
15,Yoweri K Museveni,@KagutaMuseveni
16,Willy Nyamitwe,@willynyamitwe
17,Chérif Mahamat Zene,@Cherif_MZ
18,Ali Bongo Ondimba,@PresidentABO
19,Présidence du Bénin,@PresidenceBenin
20,Roch KABORE,@rochkaborepf
21,Presidente Cabo Verde,@PresidenciaCV
22,Alassane Ouattara,@AOuattara_PRCI
23,State House of The Gambia,@Presidency_GMB
24,Alpha CONDÉ,@President_GN
25,Umaro Sissoco Embalo,@USEmbalo
26,Presidence Mali,@PresidenceMali
27,Mohamed Cheikh El Ghazouani محمد الشيخ الغزواني,@CheikhGhazouani
28,Issoufou Mahamadou,@IssoufouMhm
29,Muhammadu Buhari,@MBuhari
30,Macky Sall,@Macky_Sall
31,President Julius Maada Bio,@PresidentBio
32,Publique,@MSPS_Togo
